# BEAST v1.10.1
# Generated Tue Sep 11 01:25:24 CLST 2018 [seed=1536639898616]
# -window -working -options
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	yule.birthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	speciation
13000	-1813.5450573790795	1.596397643787249	-1815.1414550228667	0.0639259159939535	0.22627767690104988	14.190201776293986	22.293600685552956	0.32177868706029666	0.25324835239431	0.1482870617078157	0.27668589883757744	1.0	1.0	-1815.1414550228667	0.0	10.05183266071721
14000	-1814.6208140852714	1.7930388028766755	-1816.413852888148	0.06128036851550651	0.2387705512009383	11.182302967101071	18.3373858546561	0.3333419571169371	0.2449390206701026	0.15381349629656818	0.26790552591639183	1.0	1.0	-1816.413852888148	0.0	9.401657538927651
15000	-1817.3723524613367	0.004734781347295325	-1817.377087242684	0.06358849509515334	0.22896565069839184	21.58270102537393	35.906306794160294	0.3393208959512749	0.24854373222696635	0.14435456758650617	0.2677808042352523	1.0	1.0	-1817.377087242684	0.0	10.41776339270004
16000	-1819.3571495657918	0.54966867957258	-1819.9068182453643	0.06462240482523149	0.2702782257143814	12.694598164314323	26.987927920401745	0.3472199832364196	0.23899721173062394	0.1350224163238257	0.2787603887091305	1.0	1.0	-1819.9068182453643	0.0	9.274809339935402
17000	-1816.7199796018574	1.9173438883668954	-1818.6373234902244	0.060421056706128705	0.2130161591343937	16.07771666069861	21.078770420530507	0.34392990258417905	0.2439575789326861	0.137487260559968	0.27462525792316667	1.0	1.0	-1818.6373234902244	0.0	10.462357824063309
18000	-1814.3776968407117	0.981715908580826	-1815.3594127492925	0.061053624046567216	0.23002863986840807	23.041057017030557	22.831964375730283	0.33777591604668045	0.2435090860423994	0.14861716804502118	0.2700978298658988	1.0	1.0	-1815.3594127492925	0.0	10.3862855544952
19000	-1816.89906080168	2.5641433896345145	-1819.4632041913144	0.05363019665644069	0.22019697325475787	15.046224946930462	15.001570955484766	0.34105497917327415	0.23837970265033243	0.1413051941574388	0.27926012401895445	1.0	1.0	-1819.4632041913144	0.0	10.242502435974448
20000	-1816.0796615682177	2.0740638351898557	-1818.1537254034076	0.06266690089180872	0.24809082217153	14.818763164046445	15.563552422741065	0.3288998315602302	0.25823936878890286	0.13499354760853732	0.2778672520423294	1.0	1.0	-1818.1537254034076	0.0	9.803071658908308
21000	-1817.838058084962	1.6398732701981729	-1819.4779313551603	0.06584198618771674	0.24996360512137322	17.07497865645757	17.865427586368106	0.3448810539815048	0.26062307921771677	0.13147595790221617	0.2630199088985621	1.0	1.0	-1819.4779313551603	0.0	9.919947555002508
22000	-1814.7816048406926	0.5690132325323933	-1815.350618073225	0.06572426096574842	0.2623893298641608	10.050371179964852	26.859323652859587	0.3420111038718636	0.25474764552005336	0.13874080972125305	0.2645004408868297	1.0	1.0	-1815.350618073225	0.0	8.900937676967459
23000	-1814.196566152406	0.512912719169039	-1814.709478871575	0.05527143519559671	0.2070933965164974	17.711917338540797	37.956114577260394	0.3293311721705585	0.25596695799184244	0.15613358581208386	0.25856828402551496	1.0	1.0	-1814.709478871575	0.0	10.703167424444665
24000	-1816.466055465099	-0.5541762732042681	-1815.9118791918947	0.06439626055358642	0.25801524686291194	10.979294872729511	42.947808371997155	0.3316120794876784	0.2639004011232185	0.15251930353619383	0.25196821585290907	1.0	1.0	-1815.9118791918947	0.0	9.147230596921235
25000	-1819.7370410484687	0.9594120456997537	-1820.6964530941684	0.07872782304409805	0.27160437379725455	14.61460395043966	22.052896634406114	0.3374199186255852	0.2755529989148844	0.12335317878622554	0.26367390367330473	1.0	1.0	-1820.6964530941684	0.0	9.4407161425214
26000	-1814.7168992512932	1.3099771100014674	-1816.0268763612946	0.057829963126826055	0.21959243314147095	22.366067966493528	22.538894349492722	0.33880514005579954	0.27506025676300233	0.12821876147284553	0.25791584170835247	1.0	1.0	-1816.0268763612946	0.0	10.626305652591933
27000	-1820.3049666698373	0.8002976918434559	-1821.1052643616808	0.07623469158153133	0.2470589296658785	21.454199226578847	22.46957695979654	0.3403551738267904	0.2639970138774233	0.12923856047252053	0.26640925182326564	1.0	1.0	-1821.1052643616808	0.0	10.029150474007006
28000	-1814.2421214589147	0.5817290104537385	-1814.8238504693684	0.06672298996740865	0.2703551956350191	14.735737193878299	25.958467218020118	0.3241310298649669	0.24953708675944508	0.16096702873536448	0.2653648546402234	1.0	1.0	-1814.8238504693684	0.0	9.467495113434165
